case,hit_time_mean,hit_time_std,hit_time_range,max_miss,mean_miss,min_trust_link_0_1,min_trust_link_0_3,isolated_link_count,isolated_node_count,cum_lambda2
No attack,30.752,1.0329453034890086,2.8200000000000003,13.913393783824834,12.387900637224114,0.9902631684320279,0.9933957783423093,0,0,162.49999999999505
Hybrid attack without defense,30.812,1.0437317663077994,3.099999999999998,14.463934798996203,12.708779246659478,1.0,1.0,0,0,117.29999999999761
Hybrid attack with proposed defense,30.76,1.037149940943931,2.879999999999999,14.562043432661174,13.485979389761155,0.4026333417228549,0.40764749737482375,8,0,86.86000000000205
